Newcastle,2019-2020,11,11,16,44,38,58,1,0.76,11,13
Newcastle,2020-2021,12,9,17,45,46,62,1.16,0.68,7,12
Norwich,2012-2013,10,14,14,44,41,58,1.05,0.71,10,11
Norwich,2013-2014,8,9,21,33,28,62,0.74,0.47,12,18
Norwich,2015-2016,9,7,22,34,39,67,1,0.71,5,19
Norwich,2019-2020,5,6,27,21,26,75,0.66,0.47,5,20
QPR,2012-2013,4,13,21,25,30,60,0.76,0.58,7,20
QPR,2014-2015,8,6,24,30,42,73,1.03,0.76,6,20
Reading,2012-2013,6,10,22,28,43,73,1.08,0.74,5,19
Sheffield United,Sheffield United,14,12,12,54,39,39,0.95,0.66,13,9
Sheffield United,2020-2021,7,2,29,23,20,63,0.5,0.34,5,20
Southampton,2012-2013,9,14,15,41,49,60,1.21,0.66,7,14
Southampton,2013-2014,15,11,12,56,54,46,1.37,0.97,15,8
Southampton,2014-2015,18,6,14,60,54,43,1.29,0.84,15,7
Southampton,2015-2016,18,9,11,63,59,41,1.53,1.18,12,6
Southampton,2016-2017,12,10,16,46,41,48,1.03,0.71,14,8
Southampton,2017-2018,7,15,16,36,37,56,0.95,0.61,8,17
Southampton,2018-2019,9,12,17,39,45,65,1.16,0.71,7,16
Southampton,2019-2020,15,7,16,52,51,60,1.34,0.84,9,11
Southampton,2020-2021,12,7,19,43,47,68,1.24,0.87,9,15
Stoke,2012-2013,9,15,14,42,34,45,0.87,0.61,12,13
Stoke,2013-2014,13,11,14,50,45,52,1.16,0.68,9,9
Stoke,2014-2015,15,9,14,54,48,45,1.24,0.79,9,9
Stoke,2015-2016,14,9,15,51,41,55,1.05,0.76,10,9
Stoke,2016-2017,11,11,16,44,41,56,0.97,0.63,11,13
Stoke,2017-2018,7,12,19,33,35,68,0.89,0.74,6,19
Sunderland,2012-2013,9,12,17,39,41,54,1.03,0.63,11,17
Sunderland,2013-2014,10,8,20,38,41,60,1.08,0.63,11,14
Sunderland,2014-2015,7,17,14,38,31,53,0.79,0.53,13,16
Sunderland,2015-2016,9,12,17,39,48,62,1.16,0.79,7,17
Sunderland,2016-2017,6,6,26,24,29,69,0.74,0.29,6,20
Swansea,2012-2013,11,13,14,46,47,51,1.24,0.84,10,9
Swansea,2013-2014,11,9,18,42,54,54,1.24,0.97,8,12
Swansea,2014-2015,16,8,14,56,46,49,1.13,0.89,13,8
Swansea,2015-2016,12,11,15,47,42,52,1.08,0.66,9,12
Swansea,2016-2017,12,5,21,41,45,70,1.18,0.82,8,15
Swansea,2017-2018,8,9,21,33,28,56,0.71,0.53,9,18
Tottenham,2012-2013,21,9,8,72,66,46,1.63,1.18,9,5
Tottenham,2013-2014,21,6,11,69,55,51,1.32,0.87,14,6
Tottenham,2014-2015,19,7,12,64,58,53,1.47,1.05,9,5
Tottenham,2015-2016,19,13,6,70,69,35,1.79,1.32,13,3
Tottenham,2016-2017,26,8,4,86,86,26,2.21,1.55,17,2
Tottenham,2017-2018,23,8,7,77,74,36,1.84,1.34,16,3
Tottenham,2018-2019,23,2,13,71,67,39,1.74,1.24,13,4
Tottenham,2019-2020,16,11,11,59,61,47,1.47,1.03,8,6
Tottenham,2020-2021,18,8,12,62,68,45,1.74,1.32,12,7
Watford,2015-2016,12,9,17,45,40,50,1,0.47,11,13
Watford,2016-2017,11,7,20,40,40,68,1.03,0.71,7,17
Watford,2017-2018,11,8,19,41,44,64,1.11,0.71,9,14
Watford,2018-2019,14,8,16,50,52,59,1.34,1.03,7,11
Watford,2019-2020,8,10,20,34,36,64,0.92,0.55,9,19
West Brom,2012-2013,14,7,17,49,53,57,1.32,1,8,8
West Brom,2013-2014,7,15,16,36,43,59,1.08,0.71,7,17
West Brom,2014-2015,11,11,16,44,38,51,0.97,0.76,16,13
West Brom,2015-2016,10,13,15,43,34,48,0.84,0.66,11,14
West Brom,2016-2017,12,9,17,45,43,51,1.13,0.87,6,10
West Brom,2017-2018,6,13,19,31,31,56,0.82,0.63,10,20
West Brom,2020-2021,5,11,22,26,35,76,0.87,0.53,6,19
West Ham,2012-2013,12,10,16,46,45,53,1.13,0.87,11,10
West Ham,2013-2014,11,7,20,40,40,51,0.95,0.58,14,13
West Ham,2014-2015,12,11,15,47,44,47,1.13,0.89,9,12
West Ham,2015-2016,16,14,8,62,65,51,1.68,1,11,7
West Ham,2016-2017,12,9,17,45,47,64,1.21,0.74,10,11
West Ham,2017-2018,10,12,16,42,48,68,1.26,0.76,10,13
West Ham,2018-2019,15,7,16,52,52,55,1.34,0.87,7,10
West Ham,2019-2020,10,9,19,39,49,62,1.29,0.95,7,16
West Ham,2020-2021,19,8,11,65,62,47,1.58,1.21,11,6
Wigan,2012-2013,9,9,20,36,47,73,1.18,0.92,5,18
Wolves,2018-2019,16,9,13,57,47,46,1.21,0.92,9,7
Wolves,2019-2020,15,14,9,59,51,40,1.29,0.89,13,7
Wolves,2020-2021,12,9,17,45,36,52,0.89,0.55,10,13
